City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,bonthe,7.5264,-12.505,25.24,84,100,4.05,SL,1725415735
205,kaoma,-14.7833,24.8,10.3,49,0,2.55,ZM,1725415738
206,kirakira,-10.4544,161.9205,28.47,66,100,7.58,SB,1725415740
207,badger,64.8,-147.5333,19.43,44,75,3.6,US,1725415742
208,severo-yeniseyskiy,60.3725,93.0408,5.85,89,100,1.89,RU,1725415743
209,bikenibeu village,1.3673,173.1241,27.94,78,100,6.1,KI,1725415744
210,isla mujeres,21.2311,-86.731,26.03,80,100,3.51,MX,1725415746
211,tsiombe,-25.3,45.4833,17.11,82,4,4.11,MG,1725415748
212,kirensk,57.7853,108.1119,10.79,67,100,3.04,RU,1725415750
213,stephenville,32.2207,-98.2023,22.07,91,100,2.06,US,1725415751
214,gaspe,48.8334,-64.4819,7.19,80,16,2.66,CA,1725415752
215,deniliquin,-35.5333,144.9667,18.79,36,6,6.1,AU,1725415753
216,holualoa,19.6228,-155.9522,23.82,98,55,2.77,US,1725415754
217,port lincoln,-34.7333,135.8667,21.85,31,99,11.03,AU,1725415756
218,blenheim,-41.516,173.9528,13.62,68,87,1.79,NZ,1725415683
219,tvoroyri,61.5556,-6.8111,10.35,89,60,4.36,FO,1725415758
220,wanning,18.8003,110.3967,29.69,71,100,0.57,CN,1725415759
221,lata,40.1629,-8.3327,11.68,93,0,0.57,PT,1725415760
222,lethem,3.3803,-59.7968,26.0,78,49,1.97,GY,1725415762
223,isangel,-19.55,169.2667,24.06,83,75,3.6,VU,1725415763
224,la'ie,21.6477,-157.9253,28.66,76,5,2.68,US,1725415764
225,boa vista,2.8197,-60.6733,28.99,70,0,2.06,BR,1725415765
226,ancud,-41.8697,-73.8203,7.09,79,64,5.22,CL,1725415767
227,bilibino,68.0546,166.4372,8.39,98,100,1.6,RU,1725415768
228,malabar,-33.9667,151.25,22.1,42,0,6.69,AU,1725415769
229,puerto deseado,-47.7503,-65.8938,9.33,48,50,8.37,AR,1725415772
230,masterton,-40.9597,175.6575,10.37,72,100,4.05,NZ,1725415773
231,afaahiti,-17.75,-149.2833,22.43,80,89,9.81,PF,1725415774
232,nuuk,64.1835,-51.7216,7.34,93,100,3.6,GL,1725415775
233,dubbo,-32.25,148.6167,19.07,34,5,6.69,AU,1725415496
234,lekki,6.3607,4.8333,22.8,96,99,1.14,NG,1725415778
235,hit,33.6416,42.8251,28.1,30,0,4.2,IQ,1725415779
236,sturgis,41.7992,-85.4192,15.82,77,0,1.54,US,1725415780
237,mili,6.0815,171.735,29.04,75,100,6.61,MH,1725415782
238,mossel bay,-34.1831,22.146,15.32,82,100,2.9,ZA,1725415783
239,bat khela,34.6167,71.9714,24.55,69,0,1.18,PK,1725415784
240,magong,23.5654,119.5863,28.61,81,89,1.7,TW,1725415785
241,kingston,17.997,-76.7936,30.53,70,20,7.2,JM,1725415787
242,san patricio,28.017,-97.5169,26.97,83,81,3.71,US,1725415788
243,salinopolis,-0.6136,-47.3561,27.12,78,57,5.42,BR,1725415790
244,kursavka,44.4564,42.5093,17.19,82,0,1.69,RU,1725415792
245,saint-joseph,-21.3667,55.6167,19.21,81,17,5.62,RE,1725415794
246,mount pearl,47.5166,-52.7813,13.97,92,100,2.24,CA,1725415796
247,remire-montjoly,4.9167,-52.2667,26.02,94,0,0.0,GF,1725415797
248,nadym,65.5333,72.5167,5.16,81,99,6.92,RU,1725415798
249,new norfolk,-42.7826,147.0587,16.07,46,90,4.31,AU,1725415799
250,minas de barroteran,27.6333,-101.2833,28.36,58,79,6.18,MX,1725415800
251,papao,-17.75,-149.55,23.72,79,36,10.44,PF,1725415802
252,oliveira dos brejinhos,-12.3169,-42.8961,22.02,38,9,2.21,BR,1725415803
253,iwanai,42.9744,140.5089,26.1,46,0,1.59,JP,1725415804
254,dauphin,51.1494,-100.0502,23.98,40,61,3.02,CA,1725415806
255,cockburn town,21.4612,-71.1419,28.76,86,100,10.36,TC,1725415807
256,akjoujt,19.6969,-14.4164,36.18,28,99,4.44,MR,1725415808
257,marovoay,-16.1,46.6333,20.51,79,4,2.08,MG,1725415809
258,turuntayevo,52.2,107.6167,11.84,64,90,2.42,RU,1725415810
259,adh dhibiyah,24.5014,45.9686,26.64,24,0,3.1,SA,1725415812
260,la palma,33.8464,-118.0467,29.89,60,0,4.12,US,1725415814
261,florencia,43.7667,11.25,23.36,69,0,1.03,IT,1725415816
262,la foa,-21.7108,165.8276,24.22,56,0,7.76,NC,1725415818
263,manta,-0.95,-80.7333,21.88,83,20,4.63,EC,1725415820
264,shelbyville,35.4834,-86.4603,25.62,32,0,0.45,US,1725415822
265,aasiaat,68.7098,-52.8699,3.12,97,100,2.33,GL,1725415825
266,bol,13.4586,14.7147,25.08,83,100,3.75,TD,1725415826
267,hasaki,35.7333,140.8333,23.67,89,100,7.5,JP,1725415828
268,grand-lahou,5.1367,-5.0242,22.41,96,94,3.28,CI,1725415829
269,tibanbang,6.6315,126.1055,28.88,79,85,4.35,PH,1725415830
270,lerwick,60.1545,-1.1494,11.76,92,31,1.07,GB,1725415832
271,ujae,8.9322,165.7642,29.18,75,6,5.69,MH,1725415833
272,deqen,29.9618,90.7188,12.31,68,100,0.64,CN,1725415834
273,gizo,-8.103,156.8419,27.4,79,100,7.6,SB,1725415835
274,yuzhno-kurilsk,44.0306,145.8556,21.13,74,9,4.4,RU,1725415837
275,duba,27.3513,35.6901,32.55,40,0,2.26,SA,1725415838
